project_id,project_acronym,project_title,participant_name,participant_short_name,pic,country,country_code,org_type,is_coordinator,eu_contribution
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","HOME OFFICE",,999832351,,,public_body,no,108025.75
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","TOLLREGION OSLO OG AKERSHUS",,925845504,,,public_body,no,97362.5
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","RAPISCAN SYSTEMS LIMITED",,995950023,,,company,no,477033.6
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","SATWAYS-OLOKLIROMENES LYSEIS ASFALEIAS KAI AMYNAS-IDIOTIKI EPICHEIRISI PAROCHIS YPIRESION ASFALEIAS (IEPYA)-ETAIREIA PERIORISMENIS EFTHYNIS",,987804060,Greece,GR,sme,no,406210.49
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","INTA JSC",,881160320,Lithuania,LT,company,no,1086421.88
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","REZERO LIMITED",,883028443,Ireland,IE,company,no,243839.33
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","ANALYZE IQ LIMITED",,952507021,Ireland,IE,company,no,225728.48
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","RADIOS SEGELYHIVO ES INFOKOMMUNIKACIOS ORSZAGOS EGYESULET",,995782019,Hungary,HU,other,no,333125
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","VICESSE RESEARCH GMBH",,934366469,Austria,AT,research_institution,no,673500
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","TECHNISCHE UNIVERSITEIT DELFT",,999977366,Netherlands,NL,university,no,305625
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","UNIVERSITY OF GALWAY",,999978045,Ireland,IE,university,no,819380
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","AGILENT TECHNOLOGIES LDA UK LIMITED",,889259044,,,company,no,152309.51
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","CROSS-BORDER RESEARCH ASSOCIATION",,998764381,,,research_institution,no,
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","UNIVERSITE DE LAUSANNE",,999841469,,,university,no,
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","THE UNIVERSITY OF NOTTINGHAM",,999976978,,,university,no,
101190006,CADMUS,"Cultivating Cybersecurity Defence Expertise with M","ETHNIKI ARCHI KYVERNOASFALEIAS",,877132007,Greece,GR,public_body,yes,799825
101190006,CADMUS,"Cultivating Cybersecurity Defence Expertise with M","INSTITOUTO TECHNOLOGIAS YPOLOGISTON KAI EKDOSEON DIOFANTOS",,999643783,Greece,GR,research_institution,no,1177000
101190006,CADMUS,"Cultivating Cybersecurity Defence Expertise with M","STICHTING THE HAGUE SECURITY DELTA",,905753409,Netherlands,NL,other,no,257170.76
101190006,CADMUS,"Cultivating Cybersecurity Defence Expertise with M","STICHTING CENTRUM VOOR VEILIGHEID EN DIGITALISERING",,878042352,Netherlands,NL,university,no,233060.45
101190006,CADMUS,"Cultivating Cybersecurity Defence Expertise with M","SVEUCILISTE ALGEBRA BERNAYS",,879465051,Croatia,HR,university,no,426127.5
101190006,CADMUS,"Cultivating Cybersecurity Defence Expertise with M","ARCHI PSIFIAKIS ASFALEIAS",,905199442,Cyprus,CY,public_body,no,217450.75
101190006,CADMUS,"Cultivating Cybersecurity Defence Expertise with M","EUROPEAN UNIVERSITY - CYPRUS LTD",,999739619,Cyprus,CY,university,no,35636.35
101167904,CASTOR,"Trustworthy Networks and Path Security","GIOUMPITEK MELETI SCHEDIASMOS YLOPOIISI KAI POLISI ERGON PLIROFORIKIS ETAIREIA PERIORISMENIS EFTHYNIS",,985034419,Greece,GR,sme,yes,630000
101167904,CASTOR,"Trustworthy Networks and Path Security","MELLANOX TECHNOLOGIES LTD - MLNX",,990560024,,,company,no,504910
101167904,CASTOR,"Trustworthy Networks and Path Security","ORANGE ROMANIA SA",,954892445,Romania,RO,company,no,274400
101167904,CASTOR,"Trustworthy Networks and Path Security","UNIVERSITATEA TEHNICA GHEORGHE ASACHI DIN IASI",,999853303,Romania,RO,university,no,187500
